IncidntNum,Descript,DayOfWeek,Date,Time
160441007,FOUND PROPERTY,Monday,05/30/2016 12:00:00 AM,07:30
160835842,FOUND PROPERTY,Thursday,10/13/2016 12:00:00 AM,16:09
160836298,FOUND PROPERTY,Thursday,10/13/2016 12:00:00 AM,17:30
160836715,FOUND PROPERTY,Thursday,10/13/2016 12:00:00 AM,14:00
160837490,FOUND PROPERTY,Thursday,10/13/2016 12:00:00 AM,16:30
160838012,FOUND PROPERTY,Friday,10/14/2016 12:00:00 AM,11:00
160838034,FOUND PROPERTY,Friday,10/14/2016 12:00:00 AM,09:45
160838329,FOUND PROPERTY,Friday,10/14/2016 12:00:00 AM,12:00
160838909,FOUND PROPERTY,Friday,10/14/2016 12:00:00 AM,18:09
160839032,FOUND PROPERTY,Friday,10/14/2016 12:00:00 AM,12:00
160839236,FOUND PROPERTY,Friday,10/14/2016 12:00:00 AM,20:45
160839258,FOUND PROPERTY,Friday,10/14/2016 12:00:00 AM,17:30
160839559,FOUND PROPERTY,Friday,10/14/2016 12:00:00 AM,21:00
160840186,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,07:40
160840255,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,08:00
160840528,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,09:00
160840716,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,12:35
160840879,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,11:30
160841112,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,13:00
160841247,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,16:00
160841576,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,18:20
160841833,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,17:00
160842223,FOUND PROPERTY,Sunday,10/16/2016 12:00:00 AM,00:15
160842552,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,23:00
160842671,FOUND PROPERTY,Sunday,10-09-2016 00:00,11:00
160844100,FOUND PROPERTY,Sunday,10/16/2016 12:00:00 AM,17:00
160844188,FOUND PROPERTY,Sunday,10/16/2016 12:00:00 AM,18:30
160844417,FOUND PROPERTY,Sunday,10/16/2016 12:00:00 AM,17:35
160845261,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,23:59
160845330,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,08:25
160845409,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,09:05
160845493,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,08:15
160845681,FOUND PROPERTY,Friday,10/14/2016 12:00:00 AM,09:00
160845926,FOUND PROPERTY,Sunday,10/16/2016 12:00:00 AM,08:30
160845982,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,17:00
160846269,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,14:00
160846441,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,11:00
160847110,FOUND PROPERTY,Saturday,10-08-2016 00:00,16:00
160847502,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,19:30
160847609,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,22:36
160847665,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,19:15
160847916,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,22:48
160848077,FOUND PROPERTY,Tuesday,10/18/2016 12:00:00 AM,01:00
160848613,FOUND PROPERTY,Tuesday,10/18/2016 12:00:00 AM,09:28
160849019,FOUND PROPERTY,Tuesday,10/18/2016 12:00:00 AM,12:03
160849285,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,12:50
160849445,FOUND PROPERTY,Tuesday,10/18/2016 12:00:00 AM,15:00
160849956,FOUND PROPERTY,Tuesday,10/18/2016 12:00:00 AM,13:32
160849990,FOUND PROPERTY,Tuesday,10/18/2016 12:00:00 AM,17:56
160850351,FOUND PROPERTY,Tuesday,10/18/2016 12:00:00 AM,20:45
160850856,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,23:54
160851393,FOUND PROPERTY,Wednesday,10/19/2016 12:00:00 AM,08:45
160851688,FOUND PROPERTY,Wednesday,10/19/2016 12:00:00 AM,11:15
160443467,FOUND PROPERTY,Monday,05/30/2016 12:00:00 AM,20:17
160853690,FOUND PROPERTY,Wednesday,10/19/2016 12:00:00 AM,21:15
160853747,FOUND PROPERTY,Wednesday,10/19/2016 12:00:00 AM,22:45
160854278,FOUND PROPERTY,Thursday,10/20/2016 12:00:00 AM,07:45
160508390,FOUND PROPERTY,Thursday,06/23/2016 12:00:00 AM,06:10
160854927,FOUND PROPERTY,Thursday,10/20/2016 12:00:00 AM,12:00
160444095,FOUND PROPERTY,Thursday,05/19/2016 12:00:00 AM,12:00
160855806,FOUND PROPERTY,Thursday,10/20/2016 12:00:00 AM,16:45
160445554,FOUND PROPERTY,Sunday,05/29/2016 12:00:00 AM,16:30
160445617,FOUND PROPERTY,Tuesday,05/31/2016 12:00:00 AM,17:45
160445689,FOUND PROPERTY,Tuesday,05/31/2016 12:00:00 AM,16:30
160858292,FOUND PROPERTY,Friday,10/21/2016 12:00:00 AM,08:30
160858402,FOUND PROPERTY,Friday,10/21/2016 12:00:00 AM,14:00
160860554,FOUND PROPERTY,Saturday,10/22/2016 12:00:00 AM,11:36
160860924,FOUND PROPERTY,Saturday,10-08-2016 00:00,11:00
160446364,FOUND PROPERTY,Tuesday,05/31/2016 12:00:00 AM,19:30
160861790,FOUND PROPERTY,Saturday,10/22/2016 12:00:00 AM,17:50
160862760,FOUND PROPERTY,Sunday,10/23/2016 12:00:00 AM,08:00
160862889,FOUND PROPERTY,Sunday,10/23/2016 12:00:00 AM,11:00
160862942,FOUND PROPERTY,Sunday,10/23/2016 12:00:00 AM,11:00
160862992,FOUND PROPERTY,Sunday,10/23/2016 12:00:00 AM,11:45
160863536,FOUND PROPERTY,Saturday,10/22/2016 12:00:00 AM,20:00
160864023,FOUND PROPERTY,Sunday,10/23/2016 12:00:00 AM,16:00
160864205,FOUND PROPERTY,Sunday,10/23/2016 12:00:00 AM,19:35
160865184,FOUND PROPERTY,Monday,10/24/2016 12:00:00 AM,08:00
160865281,FOUND PROPERTY,Monday,10/24/2016 12:00:00 AM,08:00
160865510,FOUND PROPERTY,Saturday,10/22/2016 12:00:00 AM,18:00
160865952,FOUND PROPERTY,Monday,10/24/2016 12:00:00 AM,10:00
160866029,FOUND PROPERTY,Monday,10/24/2016 12:00:00 AM,13:09
160866706,FOUND PROPERTY,Monday,10/24/2016 12:00:00 AM,17:00
