IncidntNum,Descript,DayOfWeek,Date,Time
160193515,FOUND PROPERTY,Sunday,03-06-2016 00:00,13:25
160197404,FOUND PROPERTY,Monday,03-07-2016 00:00,13:30
160197874,FOUND PROPERTY,Sunday,03-06-2016 00:00,14:30
160594719,FOUND PROPERTY,Saturday,07/23/2016 12:00:00 AM,20:00
160617719,FOUND PROPERTY,Saturday,07/30/2016 12:00:00 AM,15:00
160201168,FOUND PROPERTY,Wednesday,03-09-2016 00:00,02:44
160630238,FOUND PROPERTY,Friday,08-05-2016 00:00,09:10
160205223,FOUND PROPERTY,Thursday,03-10-2016 00:00,15:00
160089469,FOUND PROPERTY,Saturday,01/30/2016 12:00:00 AM,12:15
160089607,FOUND PROPERTY,Saturday,01/30/2016 12:00:00 AM,20:30
160209112,FOUND PROPERTY,Friday,03-11-2016 00:00,23:51
160089760,FOUND PROPERTY,Sunday,01/31/2016 12:00:00 AM,08:00
160209576,FOUND PROPERTY,Thursday,03-10-2016 00:00,12:00
160210006,FOUND PROPERTY,Monday,03-07-2016 00:00,23:00
160210670,FOUND PROPERTY,Saturday,03-12-2016 00:00,15:39
160210761,FOUND PROPERTY,Friday,03-11-2016 00:00,18:00
160091298,FOUND PROPERTY,Sunday,01/31/2016 12:00:00 AM,14:30
160091492,FOUND PROPERTY,Saturday,01/30/2016 12:00:00 AM,00:45
160212096,FOUND PROPERTY,Saturday,03-12-2016 00:00,23:30
160213317,FOUND PROPERTY,Sunday,03/13/2016 12:00:00 AM,20:20
160207780,FOUND PROPERTY,Thursday,03-10-2016 00:00,08:00
160213969,FOUND PROPERTY,Monday,03/14/2016 12:00:00 AM,06:30
160215131,FOUND PROPERTY,Monday,03/14/2016 12:00:00 AM,14:00
160216775,FOUND PROPERTY,Monday,03/14/2016 12:00:00 AM,17:30
160001491,FOUND PROPERTY,Friday,01-01-2016 00:00,09:15
160095535,FOUND PROPERTY,Sunday,01/31/2016 12:00:00 AM,14:00
160221887,FOUND PROPERTY,Wednesday,03/16/2016 12:00:00 AM,17:50
160222459,FOUND PROPERTY,Wednesday,03/16/2016 12:00:00 AM,20:30
160223695,FOUND PROPERTY,Thursday,03/17/2016 12:00:00 AM,10:19
160098567,FOUND PROPERTY,Tuesday,02-02-2016 00:00,09:00
160224041,FOUND PROPERTY,Thursday,03/17/2016 12:00:00 AM,12:15
160100316,FOUND PROPERTY,Wednesday,02-03-2016 00:00,16:20
160100388,FOUND PROPERTY,Wednesday,02-03-2016 00:00,07:50
160100861,FOUND PROPERTY,Wednesday,02-03-2016 00:00,19:47
160689746,FOUND PROPERTY,Monday,08-01-2016 00:00,12:00
160227556,FOUND PROPERTY,Friday,03/18/2016 12:00:00 AM,14:22
160690759,FOUND PROPERTY,Tuesday,08-02-2016 00:00,10:00
160268566,FOUND PROPERTY,Friday,04-01-2016 00:00,01:00
160229938,FOUND PROPERTY,Saturday,03/19/2016 12:00:00 AM,09:15
160696218,FOUND PROPERTY,Sunday,08/28/2016 12:00:00 AM,00:28
160696650,FOUND PROPERTY,Saturday,08/27/2016 12:00:00 AM,23:00
160105407,FOUND PROPERTY,Friday,02-05-2016 00:00,05:45
160105902,FOUND PROPERTY,Friday,02-05-2016 00:00,10:20
160233644,FOUND PROPERTY,Sunday,03/20/2016 12:00:00 AM,16:53
160233694,FOUND PROPERTY,Sunday,03/20/2016 12:00:00 AM,16:42
160234125,FOUND PROPERTY,Friday,03/18/2016 12:00:00 AM,10:10
160234454,FOUND PROPERTY,Saturday,03/19/2016 12:00:00 AM,21:00
160234664,FOUND PROPERTY,Monday,03/21/2016 12:00:00 AM,01:22
160235430,FOUND PROPERTY,Monday,03/21/2016 12:00:00 AM,11:00
160235446,FOUND PROPERTY,Friday,03-11-2016 00:00,10:10
160236723,FOUND PROPERTY,Monday,03/21/2016 12:00:00 AM,14:00
160238274,FOUND PROPERTY,Tuesday,03/22/2016 12:00:00 AM,03:24
160238973,FOUND PROPERTY,Tuesday,03/22/2016 12:00:00 AM,11:50
160239197,FOUND PROPERTY,Wednesday,03/23/2016 12:00:00 AM,12:43
