IncidntNum,Descript,DayOfWeek,Date,Time
160013662,LOST PROPERTY,Tuesday,01-05-2016 00:00,23:50
160002740,LOST PROPERTY,Friday,01-01-2016 00:00,00:30
160189188,LOST PROPERTY,Wednesday,03-02-2016 00:00,15:00
160219434,LOST PROPERTY,Tuesday,03/15/2016 12:00:00 AM,16:00
160261651,LOST PROPERTY,Saturday,03/26/2016 12:00:00 AM,05:00
160038193,LOST PROPERTY,Monday,01-11-2016 00:00,21:00
160030757,LOST PROPERTY,Tuesday,01-12-2016 00:00,08:40
160294129,LOST PROPERTY,Sunday,04-10-2016 00:00,03:25
160040875,LOST PROPERTY,Wednesday,01/13/2016 12:00:00 AM,21:45
160046237,LOST PROPERTY,Sunday,01/17/2016 12:00:00 AM,02:39
160361825,LOST PROPERTY,Tuesday,05-03-2016 00:00,01:00
160054989,LOST PROPERTY,Tuesday,01/19/2016 12:00:00 AM,23:00
160049673,LOST PROPERTY,Thursday,01/14/2016 12:00:00 AM,15:00
160049689,LOST PROPERTY,Sunday,01/17/2016 12:00:00 AM,03:00
160049708,LOST PROPERTY,Friday,01-01-2016 00:00,00:01
160022196,LOST PROPERTY,Friday,01-08-2016 00:00,22:00
160062192,LOST PROPERTY,Thursday,01/21/2016 12:00:00 AM,22:00
160059581,LOST PROPERTY,Wednesday,01/20/2016 12:00:00 AM,20:30
160059638,LOST PROPERTY,Thursday,01/21/2016 12:00:00 AM,08:00
160067346,LOST PROPERTY,Saturday,01/23/2016 12:00:00 AM,23:00
160081114,LOST PROPERTY,Thursday,01/28/2016 12:00:00 AM,02:00
160073882,LOST PROPERTY,Thursday,01/14/2016 12:00:00 AM,12:00
160073898,LOST PROPERTY,Saturday,01/23/2016 12:00:00 AM,12:00
160077787,LOST PROPERTY,Friday,01-01-2016 00:00,12:00
160087435,LOST PROPERTY,Saturday,01/30/2016 12:00:00 AM,10:35
160093426,LOST PROPERTY,Saturday,01/30/2016 12:00:00 AM,19:10
160106289,LOST PROPERTY,Thursday,02-04-2016 00:00,13:00
160108025,LOST PROPERTY,Friday,02-05-2016 00:00,21:30
160108934,LOST PROPERTY,Friday,02-05-2016 00:00,22:30
160109556,LOST PROPERTY,Thursday,02-04-2016 00:00,15:00
160110597,LOST PROPERTY,Saturday,02-06-2016 00:00,19:00
160080702,LOST PROPERTY,Thursday,01/28/2016 12:00:00 AM,10:00
160087695,LOST PROPERTY,Thursday,01/28/2016 12:00:00 AM,18:00
160090438,LOST PROPERTY,Sunday,01/31/2016 12:00:00 AM,10:15
160097600,LOST PROPERTY,Saturday,01/16/2016 12:00:00 AM,19:30
160125251,LOST PROPERTY,Thursday,02-11-2016 00:00,08:30
160117800,LOST PROPERTY,Thursday,02-04-2016 00:00,23:00
160119721,LOST PROPERTY,Tuesday,02-09-2016 00:00,19:00
160106245,LOST PROPERTY,Monday,02-01-2016 00:00,13:00
160131048,LOST PROPERTY,Saturday,02/13/2016 12:00:00 AM,00:01
160155963,LOST PROPERTY,Saturday,02/20/2016 12:00:00 AM,02:52
160133260,LOST PROPERTY,Saturday,02/13/2016 12:00:00 AM,12:00
160120784,LOST PROPERTY,Saturday,01/30/2016 12:00:00 AM,12:00
160125671,LOST PROPERTY,Wednesday,02-03-2016 00:00,17:30
160137165,LOST PROPERTY,Saturday,02/13/2016 12:00:00 AM,23:00
160128023,LOST PROPERTY,Tuesday,02-02-2016 00:00,13:00
160139218,LOST PROPERTY,Tuesday,02/16/2016 12:00:00 AM,14:30
160141401,LOST PROPERTY,Monday,02/15/2016 12:00:00 AM,12:00
